Catalog_Number,Calendar_Date,Year,Eclipse_Time,Delta_T,Lunation_Number,Saros_Number,Eclipse Type,Gamma,Eclipse_Magnitude,Latitude,Longitude,Sun_Altitude,Sun_Azimuth,Path_Width,Central_Duration
9421,1960 September 20,1960,22:59:56,33,-486,153,P,1.2057,0.6139,72.1N,74.1W,0,273,,
9422,1961 February 15,1961,08:19:48,34,-481,120,T,0.883,1.036,47.4N,40.0E,28,159,258,2.45
9423,1961 August 11,1961,10:46:47,34,-475,125,A,-0.8859,0.9375,45.8S,4.0E,27,17,499,6.35
9424,1962 February 5,1962,00:12:38,34,-469,130,T,0.2107,1.043,4.2S,178.1E,78,169,147,4.08
9425,1962 July 31,1962,12:25:33,34,-463,135,Am,-0.113,0.9716,12.0N,5.7W,84,9,103,3.33
9426,1963 January 25,1963,13:37:12,35,-457,140,A,-0.4898,0.9951,48.2S,15.0W,60,348,20,0.25
9427,1963 July 20,1963,20:36:13,35,-451,145,T,0.6571,1.0224,61.7N,119.6W,49,191,101,1.4
9428,1964 January 14,1964,20:30:08,35,-445,150,P,-1.2354,0.5591,68.2S,43.1E,0,191,,
9429,1964 June 10,1964,04:34:07,35,-440,117,P,-1.1393,0.7545,65.0S,135.9E,0,338,,
9430,1964 July 9,1964,11:17:53,35,-439,155,P,1.3623,0.3221,67.6N,172.9W,0,355,,
9431,1964 December 4,1964,01:31:54,36,-434,122,P,1.1193,0.7518,64.3N,173.3W,0,209,,
9432,1965 May 30,1965,21:17:31,36,-428,127,T,-0.4225,1.0544,2.5S,133.8W,65,347,198,5.15
9433,1965 November 23,1965,04:14:51,36,-422,132,A,0.3906,0.9656,1.7N,119.8E,67,197,134,4.02
9434,1966 May 20,1966,09:39:02,37,-416,137,A,0.3467,0.9991,39.2N,26.4E,70,158,3,0.05
9435,1966 November 12,1966,14:23:28,37,-410,142,T,-0.33,1.0234,35.6S,48.2W,71,25,84,1.57
9436,1967 May 9,1967,14:42:48,38,-404,147,P,1.1422,0.7201,62.5N,168.1W,0,50,,
9437,1967 November 2,1967,05:38:56,38,-398,152,T-,-1.0007,1.0126,62.0S,27.8W,0,122,-,-
9438,1968 March 28,1968,23:00:30,38,-393,119,P,-1.037,0.899,61.0S,79.8W,0,277,,
9439,1968 September 22,1968,11:18:46,39,-387,124,T,0.9451,1.0099,56.2N,64.0E,19,240,104,0.4
9440,1969 March 18,1969,04:54:57,39,-381,129,A,-0.2704,0.9954,14.8S,116.3E,74,330,16,0.26
9441,1969 September 11,1969,19:58:59,40,-375,134,A,0.2201,0.969,15.6N,114.1W,77,210,114,3.11
9442,1970 March 7,1970,17:38:30,40,-369,139,T,0.4473,1.0414,18.2N,94.7W,63,150,153,3.28
9443,1970 August 31,1970,21:55:30,41,-363,144,A,-0.5364,0.94,20.3S,164.0W,57,29,258,6.47
9444,1971 February 25,1971,09:38:07,41,-357,149,P,1.1188,0.7872,61.4N,33.5W,0,110,,
9445,1971 July 22,1971,09:31:55,42,-352,116,Pe,1.513,0.0689,63.5N,177.0E,0,321,,
9446,1971 August 20,1971,22:39:31,42,-351,154,P,-1.2659,0.508,61.7S,135.4E,0,63,,
9447,1972 January 16,1972,11:03:22,42,-346,121,A,-0.9365,0.9692,74.9S,107.7E,20,263,321,1.53
9448,1972 July 10,1972,19:46:38,43,-340,126,T,0.6872,1.0379,63.5N,94.2W,46,209,175,2.36
9449,1973 January 4,1973,15:46:21,43,-334,131,A,-0.2644,0.9303,37.9S,51.2W,74,346,271,7.49
9450,1973 June 30,1973,11:38:41,44,-328,136,T,-0.0785,1.0792,18.8N,5.6E,86,9,256,7.04
9451,1973 December 24,1973,15:02:44,44,-322,141,A,0.4171,0.9174,1.1N,48.5W,65,174,345,12.02
9452,1974 June 20,1974,04:48:04,45,-316,146,T,-0.8239,1.0592,32.1S,103.7E,34,5,344,5.09
9453,1974 December 13,1974,16:13:13,45,-310,151,P,1.0797,0.8266,66.8N,69.4W,0,176,,
9454,1975 May 11,1975,07:17:33,46,-305,118,P,1.0647,0.8636,69.7N,80.2W,0,28,,
9455,1975 November 3,1975,13:15:54,46,-299,123,P,-1.0248,0.9588,70.4S,161.7W,0,141,,
9456,1976 April 29,1976,10:24:18,47,-293,128,A,0.3378,0.9421,34.0N,18.3E,70,165,227,6.41
9457,1976 October 23,1976,05:13:45,47,-287,133,T,-0.327,1.0572,30.0S,92.3E,71,17,199,4.46
9458,1977 April 18,1977,10:31:30,48,-281,138,A,-0.399,0.9449,11.9S,28.3E,66,345,220,7.04
9459,1977 October 12,1977,20:27:27,48,-275,143,T,0.3836,1.0269,14.1N,123.6W,67,197,99,2.37
9460,1978 April 7,1978,15:03:47,49,-269,148,P,-1.1081,0.7883,71.9S,23.3E,0,293,,
9461,1978 October 2,1978,06:28:43,49,-263,153,P,1.1616,0.6905,72.0N,159.6E,0,259,,
9462,1979 February 26,1979,16:55:06,50,-258,120,T,0.8981,1.0391,52.1N,94.5W,26,153,298,2.49
9463,1979 August 22,1979,17:22:38,50,-252,125,A,-0.9632,0.9329,59.6S,108.5W,15,29,953,6.03
9464,1980 February 16,1980,08:54:01,51,-246,130,T,0.2224,1.0434,0.1S,47.1E,77,166,149,4.08
9465,1980 August 10,1980,19:12:21,51,-240,135,A,-0.1915,0.9727,4.6N,108.9W,79,12,100,3.23
9466,1981 February 4,1981,22:09:24,51,-234,140,A,-0.4838,0.9937,44.4S,140.8W,61,344,25,0.33
9467,1981 July 31,1981,03:46:37,52,-228,145,T,0.5792,1.0258,53.3N,134.1E,54,195,108,2.02
9468,1982 January 25,1982,04:42:53,52,-222,150,P,-1.2311,0.5663,69.3S,91.7W,0,203,,
9469,1982 June 21,1982,12:04:33,53,-217,117,P,-1.2102,0.6168,65.9S,13.2E,0,347,,
9470,1982 July 20,1982,18:44:44,53,-216,155,P,1.2886,0.4643,68.6N,64.2E,0,345,,
9471,1982 December 15,1982,09:32:09,53,-211,122,P,1.1293,0.735,65.3N,56.9E,0,199,,
9472,1983 June 11,1983,04:43:33,53,-205,127,T,-0.4947,1.0524,6.2S,114.2E,60,351,199,5.11
9473,1983 December 4,1983,12:31:15,54,-199,132,A,0.4015,0.9666,0.9N,4.7W,66,192,131,4.01
9474,1984 May 30,1984,16:45:41,54,-193,137,A,0.2755,0.998,37.5N,76.7W,74,163,7,0.11
9475,1984 November 22,1984,22:54:17,54,-187,142,T,-0.3132,1.0237,37.8S,173.6W,72,21,85,2
9476,1985 May 19,1985,21:29:38,55,-181,147,P,1.072,0.8406,63.2N,81.1E,0,41,,
9477,1985 November 12,1985,14:11:27,55,-175,152,T,-0.9795,1.0388,68.6S,142.6W,11,111,690,1.59
9478,1986 April 9,1986,06:21:22,55,-170,119,P,-1.0822,0.8236,61.2S,161.4E,0,286,,
9479,1986 October 3,1986,19:06:15,55,-164,124,H,0.9931,1,59.9N,37.1W,5,252,1,0
9480,1987 March 29,1987,12:49:47,55,-158,129,H,-0.3053,1.0013,12.3S,2.3W,72,331,5,0.08
9481,1987 September 23,1987,03:12:22,56,-152,134,A,0.2787,0.9634,14.3N,138.4E,74,210,137,3.49
9482,1988 March 18,1988,01:58:56,56,-146,139,T,0.4188,1.0464,20.7N,140.0E,65,149,169,3.46
9483,1988 September 11,1988,04:44:29,56,-140,144,A,-0.4681,0.9377,20.0S,94.4E,62,31,258,6.57
9484,1989 March 7,1989,18:08:41,56,-134,149,P,1.0981,0.8268,61.2N,169.8W,0,101,,
9485,1989 August 31,1989,05:31:47,57,-128,154,P,-1.1928,0.6344,61.3S,23.6E,0,72,,
9486,1990 January 26,1990,19:31:24,57,-123,121,A,-0.9457,0.967,71.0S,22.2W,18,266,373,2.03
9487,1990 July 22,1990,03:03:07,57,-117,126,T,0.7597,1.0391,65.2N,168.9E,40,222,201,2.33
9488,1991 January 15,1991,23:53:51,58,-111,131,A,-0.2727,0.929,36.4S,170.4W,74,341,277,7.53
9489,1991 July 11,1991,19:07:01,58,-105,136,Tm,-0.0041,1.08,22.0N,105.2W,90,30,258,6.53
9490,1992 January 4,1992,23:05:37,58,-99,141,A,0.4091,0.9179,1.0N,169.7W,66,169,340,11.41
