Catalog Number,Calendar_Date,Year,Eclipse Time,Delta T (s),Lunation Number,Saros_Number,Eclipse Type,Quincena Solar Eclipse,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral_Eclipse_Duration,Partial_Eclipse_Duration,Total_Eclipse_Duration
9533,1949 April 13,1949,04:11:25,29,-628,121,T+,#NAME?,0.2474,2.3825,1.4251,9S,62W,315.8,205.7,84.9
9534,1949 October 7,1949,02:56:55,29,-622,126,T,#NAME?,-0.3219,2.3118,1.2236,5N,47W,369.2,222.9,72.8
9535,1950 April 2,1950,20:44:34,29,-616,131,T,a-,-0.4598,1.9951,1.0329,5S,50E,306.5,189.6,26.9
9536,1950 September 26,1950,04:17:11,29,-610,136,T,t-,0.4101,2.1331,1.0783,1N,66W,350.1,209.8,44.3
9537,1951 March 23,1951,10:37:33,30,-604,141,N,a-,-1.2099,0.6418,-0.3661,2S,158W,214.3,-,-
9538,1951 August 17,1951,03:14:39,30,-599,108,N,#NAME?,-1.4828,0.1195,-0.8456,15S,47W,93.6,-,-
9539,1951 September 15,1951,12:27:06,30,-598,146,N,a-,1.1186,0.8034,-0.1928,2S,172E,234.6,-,-
9540,1952 February 11,1952,00:39:48,30,-593,113,P,#NAME?,0.9416,1.1781,0.0832,15N,6W,301.9,70.1,-
9541,1952 August 5,1952,19:47:55,30,-587,118,P,#NAME?,-0.7383,1.4741,0.5317,18S,65E,278.4,147.2,-
9542,1953 January 29,1953,23:47:49,30,-581,123,T+,#NAME?,0.2606,2.4291,1.3314,18N,7E,371,225.8,84.5
9543,1953 July 26,1953,12:21:10,30,-575,128,T-,pp,-0.0071,2.8265,1.8628,19S,176E,326.5,215.7,100.7
9544,1954 January 19,1954,02:32:21,31,-569,133,T,a-,-0.4357,2.0853,1.0322,20N,35W,341.2,202.9,28.2
9545,1954 July 16,1954,00:20:51,31,-563,138,P,t-,0.7876,1.4202,0.4054,21S,4W,301.6,140.9,-
9546,1955 January 8,1955,12:33:20,31,-557,143,N,a-,-1.0906,0.8555,-0.1421,21N,173E,236,-,-
9547,1955 June 5,1955,14:23:23,31,-552,110,N,#NAME?,-1.2383,0.6218,-0.4498,24S,144E,232.3,-,-
